Ticker,Sector
ABBV,Healthcare
ADBE,Technology
ABT,Healthcare
A,Healthcare
ACN,Technology
AFL,Financial Services
AOS,Industrials
AES,Utilities
AMD,Technology
MMM,Industrials
ABNB,Consumer Cyclical
ALB,Basic Materials
LNT,Utilities
APD,Basic Materials
AKAM,Technology
ARE,Real Estate
GOOGL,Communication Services
ALGN,Healthcare
ALLE,Industrials
ALL,Financial Services
MO,Consumer Defensive
AMCR,Consumer Cyclical
GOOG,Communication Services
AEP,Utilities
AEE,Utilities
AXP,Financial Services
AMT,Real Estate
AMZN,Consumer Cyclical
AIG,Financial Services
AMP,Financial Services
AWK,Utilities
ADI,Technology
AME,Industrials
AMGN,Healthcare
APA,Energy
AON,Financial Services
APH,Technology
AMAT,Technology
AAPL,Technology
APO,Financial Services
ACGL,Financial Services
APTV,Consumer Cyclical
ADM,Consumer Defensive
APP,Communication Services
ANET,Technology
AIZ,Financial Services
ARES,Financial Services
AJG,Financial Services
ATO,Utilities
ADSK,Technology
AZO,Consumer Cyclical
ADP,Technology
AVY,Consumer Cyclical
T,Communication Services
BKR,Energy
AVB,Real Estate
AXON,Industrials
BALL,Consumer Cyclical
BAC,Financial Services
BAX,Healthcare
BRK.B,EQUITY
BBY,Consumer Cyclical
TECH,Healthcare
BDX,Healthcare
BX,Financial Services
XYZ,Technology
BIIB,Healthcare
BLK,Financial Services
BA,Industrials
BK,Financial Services
BMY,Healthcare
BSX,Healthcare
AVGO,Technology
BKNG,Consumer Cyclical
BR,Technology
BF.B,MUTUALFUND
BRO,Financial Services
BLDR,Industrials
BG,Consumer Defensive
CPT,Real Estate
CHRW,Industrials
CPB,Consumer Defensive
COF,Financial Services
CDNS,Technology
CAH,Healthcare
CCL,Consumer Cyclical
CASY,Consumer Cyclical
CVNA,Consumer Cyclical
CAT,Industrials
CBRE,Real Estate
BXP,Real Estate
CARR,Industrials
CBOE,Financial Services
COR,Healthcare
CNC,Healthcare
CNP,Utilities
CRL,Healthcare
CDW,Technology
SCHW,Financial Services
CF,Basic Materials
CHTR,Communication Services
CMG,Consumer Cyclical
CVX,Energy
CIEN,Technology
CB,Financial Services
CHD,Consumer Defensive
CINF,Financial Services
CSCO,Technology
CI,Healthcare
CTAS,Industrials
CFG,Financial Services
C,Financial Services
CLX,Consumer Defensive
CME,Financial Services
KO,Consumer Defensive
CTSH,Technology
CMS,Utilities
COHR,Technology
CL,Consumer Defensive
COIN,Financial Services
CMCSA,Communication Services
CAG,Consumer Defensive
FIX,Industrials
STZ,Consumer Defensive
COP,Energy
CEG,Utilities
ED,Utilities
GLW,Technology
CPRT,Industrials
CPAY,Technology
COO,Healthcare
CTVA,Basic Materials
CSGP,Real Estate
CTRA,Energy
CCI,Real Estate
CRH,Basic Materials
CMI,Industrials
CSX,Industrials
COST,Consumer Defensive
CVS,Healthcare
DHR,Healthcare
DRI,Consumer Cyclical
DVA,Healthcare
DDOG,Technology
DECK,Consumer Cyclical
DE,Industrials
CRWD,Technology
DELL,Technology
DAL,Industrials
DVN,Energy
FANG,Energy
DXCM,Healthcare
DPZ,Consumer Cyclical
D,Utilities
DLTR,Consumer Defensive
DASH,Consumer Cyclical
DLR,Real Estate
DOV,Industrials
DOW,Basic Materials
DG,Consumer Defensive
DTE,Utilities
EBAY,Consumer Cyclical
SATS,Communication Services
DD,Basic Materials
ETN,Industrials
DHI,Consumer Cyclical
DUK,Utilities
EIX,Utilities
ECL,Basic Materials
EW,Healthcare
EA,Communication Services
EME,Industrials
EMR,Industrials
ETR,Utilities
ELV,Healthcare
EPAM,Technology
EOG,Energy
EQT,Energy
EQIX,Real Estate
ERIE,Financial Services
EFX,Industrials
EQR,Real Estate
EG,Financial Services
ESS,Real Estate
EL,Consumer Defensive
EVRG,Utilities
EXC,Utilities
ES,Utilities
EXPE,Consumer Cyclical
EXE,Energy
EXR,Real Estate
XOM,Energy
EXPD,Industrials
FFIV,Technology
FICO,Technology
FAST,Industrials
FDX,Industrials
FDS,Financial Services
FIS,Technology
FRT,Real Estate
FSLR,Technology
FE,Utilities
FISV,EQUITY
FITB,Financial Services
F,Consumer Cyclical
FTNT,Technology
FTV,Technology
FOX,Communication Services
FCX,Basic Materials
BEN,Financial Services
FOXA,Communication Services
GRMN,Technology
IT,Technology
GEHC,Healthcare
GEV,Industrials
GNRC,Industrials
GEN,Technology
GD,Industrials
GIS,Consumer Defensive
GM,Consumer Cyclical
GILD,Healthcare
GPC,Consumer Cyclical
GPN,Industrials
GL,Financial Services
GDDY,Technology
GS,Financial Services
HAL,Energy
HAS,Consumer Cyclical
HSIC,Healthcare
HCA,Healthcare
HIG,Financial Services
HSY,Consumer Defensive
HD,Consumer Cyclical
HLT,Consumer Cyclical
HPE,Technology
DOC,Real Estate
GE,Industrials
HST,Real Estate
HWM,Industrials
HON,Industrials
HRL,Consumer Defensive
HPQ,Technology
HUBB,Industrials
HUM,Healthcare
HBAN,Financial Services
IEX,Industrials
HII,Industrials
IBM,Technology
ITW,Industrials
IDXX,Healthcare
IR,Industrials
PODD,Healthcare
INTC,Technology
INCY,Healthcare
IBKR,Financial Services
ICE,Financial Services
ISRG,Healthcare
INTU,Technology
IP,Consumer Cyclical
IVZ,Financial Services
IFF,Basic Materials
INVH,Real Estate
IQV,Healthcare
JBHT,Industrials
JBL,Technology
J,Industrials
JKHY,Technology
JCI,Industrials
JNJ,Healthcare
KDP,Consumer Defensive
IRM,Real Estate
KEY,Financial Services
KEYS,Technology
KMB,Consumer Defensive
KVUE,Consumer Defensive
JPM,Financial Services
KIM,Real Estate
KKR,Financial Services
KLAC,Technology
