[2026-04-28 16:51:08.614722] Average Ridge coefficients across 31 walk-forward windows
================================================================================

## 31 windows, average coefficients
Feature            Mean        Std    AbsMean   Pos   Neg  Importance %
---------------------------------------------------------------------------
rsi             +0.0054     0.0026     0.0054    31     0        25.9%
momentum        +0.0052     0.0031     0.0052    30     1        24.8%
lowvol          -0.0021     0.0043     0.0043     9    22        20.8%
volsurge        +0.0020     0.0021     0.0024    23     8        11.4%
ma              -0.0020     0.0017     0.0021     2    29        10.1%
trend           -0.0012     0.0016     0.0014     8    23         6.9%

## Per-window coefficients (showing trend over time)
Year     momentum     lowvol      trend        rsi         ma   volsurge
1995      +0.0097    +0.0050    -0.0045    +0.0081    -0.0033    +0.0047
1996      +0.0120    +0.0072    -0.0029    +0.0082    -0.0043    +0.0044
1997      +0.0099    +0.0048    -0.0043    +0.0069    -0.0058    +0.0046
1998      +0.0087    +0.0054    -0.0046    +0.0070    -0.0054    +0.0042
1999      +0.0078    +0.0046    -0.0030    +0.0065    -0.0054    +0.0041
2000      +0.0091    +0.0010    +0.0001    +0.0057    -0.0052    +0.0041
2001      +0.0058    +0.0024    +0.0010    +0.0062    -0.0038    +0.0038
2002      +0.0066    +0.0012    -0.0005    +0.0068    -0.0025    +0.0038
2003      +0.0084    +0.0026    -0.0005    +0.0089    -0.0020    +0.0048
2004      +0.0072    -0.0019    -0.0001    +0.0096    -0.0007    +0.0046
2005      +0.0072    -0.0025    -0.0002    +0.0094    -0.0004    +0.0041
2006      +0.0075    -0.0031    -0.0009    +0.0083    -0.0001    +0.0037
2007      +0.0044    -0.0004    -0.0028    +0.0085    +0.0008    +0.0027
2008      +0.0072    -0.0029    -0.0013    +0.0071    +0.0001    +0.0028
2009      +0.0052    -0.0019    +0.0005    +0.0071    -0.0008    +0.0030
2010      +0.0003    -0.0064    -0.0002    +0.0067    -0.0002    +0.0016
2011      +0.0014    -0.0050    -0.0003    +0.0061    -0.0007    +0.0010
2012      +0.0015    -0.0030    -0.0000    +0.0060    -0.0012    +0.0013
2013      +0.0016    -0.0025    -0.0023    +0.0048    -0.0008    +0.0009
2014      +0.0041    -0.0054    -0.0010    +0.0045    -0.0013    +0.0013
2015      +0.0024    -0.0045    -0.0028    +0.0043    -0.0016    +0.0007
2016      +0.0054    -0.0050    -0.0025    +0.0020    -0.0007    +0.0000
2017      +0.0046    -0.0064    -0.0022    +0.0033    -0.0007    -0.0002
2018      +0.0044    -0.0054    -0.0017    +0.0018    -0.0012    -0.0009
2019      +0.0045    -0.0072    -0.0017    +0.0005    -0.0016    -0.0010
2020      +0.0032    -0.0073    +0.0000    +0.0035    -0.0014    -0.0007
2021      +0.0025    -0.0072    +0.0008    +0.0023    -0.0025    -0.0013
2022      +0.0006    -0.0068    +0.0007    +0.0019    -0.0024    -0.0011
2023      -0.0003    -0.0053    +0.0010    +0.0028    -0.0031    -0.0011
2024      +0.0023    -0.0051    +0.0004    +0.0013    -0.0026    -0.0004
2025      +0.0044    -0.0051    -0.0002    +0.0011    -0.0025    +0.0005
