week,monday,avg_corr,eff_n,n_sectors,eff_sectors,top_sector,top_sec_share,top3
1,2025-01-02,0.13576435259678443,5.587337106059913,8,3.9215686274509802,Technology,0.45,"['SMCI', 'COIN', 'CVNA']"
2,2025-01-06,0.11656340526507453,6.221411254282062,9,5.2631578947368425,Technology,0.35,"['SMCI', 'CVNA', 'COIN']"
3,2025-01-13,0.15730960906370167,5.013935516511718,7,3.3333333333333335,Technology,0.5,"['SMCI', 'COIN', 'CVNA']"
4,2025-01-21,0.08164448625537611,7.839309093232599,8,4.545454545454545,Technology,0.4,"['SMCI', 'VXX', 'COIN']"
5,2025-01-27,0.1750360062953615,4.623546113624807,8,3.4482758620689653,Technology,0.5,"['SMCI', 'COIN', 'APP']"
6,2025-02-03,0.18791489620715543,4.3760008467019595,9,4.0,Technology,0.45,"['SMCI', 'VXX', 'COIN']"
7,2025-02-10,0.18486097189010717,4.4322719817335265,9,4.081632653061224,Technology,0.45,"['SMCI', 'COIN', 'TSLA']"
8,2025-02-18,0.10904091647165218,6.510888424275088,8,6.666666666666666,Consumer Cyclical,0.2,"['SMCI', 'COIN', 'VXX']"
9,2025-02-24,0.2021040601063083,4.132250920435843,8,6.0606060606060606,Technology,0.3,"['COIN', 'SMCI', 'CVNA']"
10,2025-03-03,0.3895219229806218,2.380692620000557,7,3.3898305084745766,Technology,0.5,"['SMCI', 'COIN', 'VST']"
11,2025-03-10,0.34445185154772484,2.6509078397829944,8,4.545454545454545,Technology,0.4,"['SMCI', 'COIN', 'APP']"
12,2025-03-17,0.2772079640182865,3.191344401835335,8,6.25,Technology,0.25,"['SMCI', 'APP', 'COIN']"
13,2025-03-24,0.2245631050990848,3.797445043249693,7,5.0,Technology,0.3,"['SMCI', 'VXX', 'COIN']"
14,2025-03-31,0.2919817072665934,3.054529877567796,8,6.0606060606060606,Technology,0.3,"['SMCI', 'MRNA', 'COIN']"
15,2025-04-07,0.4256653663905722,2.2007909295837793,7,3.846153846153846,Technology,0.45,"['SMCI', 'COIN', 'VRT']"
16,2025-04-14,0.40650064849775597,2.2926545252656636,9,6.0606060606060606,Technology,0.3,"['SMCI', 'APP', 'COIN']"
17,2025-04-21,0.5359853531553195,1.7883134540270584,9,6.25,Technology,0.3,"['SMCI', 'APP', 'ALB']"
18,2025-04-28,0.2821090722153346,3.144618304622134,10,6.896551724137931,Technology,0.25,"['SMCI', 'VXX', 'APP']"
19,2025-05-05,0.38176967988100313,2.4231780123898186,9,5.555555555555555,Technology,0.35,"['SMCI', 'VXX', 'XYZ']"
20,2025-05-12,0.3861322501667785,2.3990846763111833,9,5.405405405405405,Technology,0.35,"['VXX', 'SMCI', 'COIN']"
21,2025-05-19,0.31732275635611557,2.845301375057181,9,5.88235294117647,Technology,0.3,"['VXX', 'SMCI', 'MRNA']"
