year,date,avg_corr,eff_n,n_sectors,eff_sectors,top_sector,top_sec_share,era
1995,1995-01-03,0.08770313738865879,7.50086369524469,7,5.88235294117647,Utilities,0.25,1995-2000
1995,1995-01-10,0.11347470489351683,6.337096674534565,7,4.761904761904762,Consumer Defensive,0.3,1995-2000
1995,1995-01-17,0.15066033459274764,5.177931382596043,7,5.0,Consumer Defensive,0.3,1995-2000
1995,1995-01-24,0.09387700791429177,7.18477736694921,8,7.4074074074074066,Consumer Cyclical,0.15,1995-2000
1995,1995-01-31,0.19842671901434109,4.192777484327213,9,6.451612903225805,Industrials,0.2,1995-2000
1995,1995-02-07,0.14089855368211743,5.439109479466102,7,5.555555555555555,Industrials,0.3,1995-2000
1995,1995-02-14,0.0690270229905333,8.652339926482666,8,5.5555555555555545,Consumer Cyclical,0.3,1995-2000
1995,1995-02-22,0.08840699817701107,7.463430221783015,9,7.999999999999998,Consumer Cyclical,0.2,1995-2000
1995,1995-03-01,0.08422099611953814,7.691719198069469,11,7.4074074074074066,Utilities,0.25,1995-2000
1995,1995-03-08,0.12007221445287504,6.095011338331637,9,6.0606060606060606,Utilities,0.25,1995-2000
1995,1995-03-15,0.07549389630025873,8.215630630153413,7,4.761904761904762,Consumer Cyclical,0.35,1995-2000
1995,1995-03-22,0.09191653125800968,7.282223042914635,9,7.142857142857142,Utilities,0.2,1995-2000
1995,1995-03-29,0.06024215231812973,9.325744503576306,10,7.4074074074074066,Industrials,0.25,1995-2000
1995,1995-04-05,0.07357385255910487,8.340620260019293,8,6.666666666666666,Healthcare,0.2,1995-2000
1995,1995-04-12,0.05447963975185042,9.827463376206037,8,7.142857142857142,Real Estate,0.2,1995-2000
1995,1995-04-20,0.07833347272488829,8.037499817749891,9,7.142857142857142,Consumer Cyclical,0.2,1995-2000
1995,1995-04-27,0.10883826699506848,6.519059783599631,8,5.88235294117647,Financial Services,0.25,1995-2000
1995,1995-05-04,0.09947515091861778,6.920348493947576,8,6.666666666666666,Industrials,0.2,1995-2000
1995,1995-05-11,0.05794159037504656,9.519773968656454,8,5.88235294117647,Industrials,0.3,1995-2000
1995,1995-05-18,0.11489546662852182,6.283353086833512,8,5.405405405405405,Consumer Defensive,0.25,1995-2000
1995,1995-05-25,0.07876493557832787,8.011107317017245,7,3.6363636363636362,Industrials,0.45,1995-2000
1995,1995-06-02,0.06336133736920882,9.074964337256953,8,5.0,Industrials,0.35,1995-2000
1995,1995-06-09,0.06958524068290307,8.612820904125748,9,5.0,Industrials,0.35,1995-2000
1995,1995-06-16,0.11078275919371675,6.441488494348458,6,4.878048780487805,Energy,0.3,1995-2000
1995,1995-06-23,0.11491035603909663,6.2827946867893445,7,4.545454545454546,Energy,0.35,1995-2000
1995,1995-06-30,0.10976728648464007,6.481766828525496,10,8.0,Healthcare,0.2,1995-2000
1995,1995-07-10,0.11688439581734737,6.209630569675787,9,6.666666666666667,Consumer Defensive,0.25,1995-2000
1995,1995-07-17,0.14236378873795427,5.398238898916162,7,4.651162790697675,Utilities,0.35,1995-2000
1995,1995-07-24,0.08769869965419526,7.5011008988023145,8,6.896551724137931,Consumer Defensive,0.2,1995-2000
1995,1995-07-31,0.10063592992405593,6.867936894768857,8,7.4074074074074066,Real Estate,0.15,1995-2000
1995,1995-08-07,0.10950280471184047,6.492340213041425,8,6.666666666666667,Consumer Cyclical,0.25,1995-2000
1995,1995-08-14,0.12391854952392829,5.962224938955533,9,7.692307692307692,Basic Materials,0.2,1995-2000
1995,1995-08-21,0.12713229711935423,5.855634635718831,8,5.7142857142857135,Energy,0.25,1995-2000
1995,1995-08-28,0.1177418604317524,6.178378406771589,9,6.896551724137931,Industrials,0.25,1995-2000
1995,1995-09-05,0.09299066025473103,7.228508397584045,8,6.451612903225807,Industrials,0.25,1995-2000
1995,1995-09-12,0.12542291804346029,5.911850566748605,9,7.142857142857142,Technology,0.2,1995-2000
1995,1995-09-19,0.07712932672781724,8.112085635270535,7,6.25,Industrials,0.2,1995-2000
1995,1995-09-26,0.1048483436279519,6.6842271810484934,9,7.4074074074074066,Technology,0.2,1995-2000
1995,1995-10-03,0.14908012883017271,5.218495200626971,8,4.347826086956521,Industrials,0.4,1995-2000
1995,1995-10-10,0.24190817945476398,3.5738183009922224,5,3.3333333333333335,Technology,0.45,1995-2000
1995,1995-10-17,0.07573109546449232,8.200449108515185,7,5.0,Technology,0.3,1995-2000
1995,1995-10-24,0.09359433271459905,7.198666549474158,9,7.4074074074074066,Energy,0.2,1995-2000
1995,1995-10-31,0.07142962875110986,8.48477617198208,8,6.666666666666667,Real Estate,0.25,1995-2000
1995,1995-11-07,0.08465508378172157,7.667398697166552,11,9.090909090909092,Technology,0.15,1995-2000
1995,1995-11-14,0.11961685192417051,6.1111243430276,8,4.545454545454546,Utilities,0.35,1995-2000
1995,1995-11-21,0.1569752977397376,5.021932465119935,7,4.166666666666666,Technology,0.4,1995-2000
1995,1995-11-29,0.037328106369925416,11.701147855671865,11,8.695652173913041,Industrials,0.2,1995-2000
1995,1995-12-06,0.07334002298839074,8.356102191065027,6,4.444444444444445,Technology,0.35,1995-2000
1995,1995-12-13,0.0962910739947814,7.068310684448198,8,5.7142857142857135,Industrials,0.3,1995-2000
1995,1995-12-20,0.16605478520715358,4.813430334429025,7,5.5555555555555545,Industrials,0.25,1995-2000
1995,1995-12-28,0.13782534768284727,5.526874751009292,8,4.878048780487805,Financial Services,0.3,1995-2000
1996,1996-01-02,0.10408689338404949,6.716703929587397,7,5.2631578947368425,Financial Services,0.25,1995-2000
1996,1996-01-09,0.1317331930110506,5.709504954584139,8,5.5555555555555545,Technology,0.3,1995-2000
1996,1996-01-16,0.1374913708584416,5.5365834583490185,7,4.878048780487805,Industrials,0.35,1995-2000
1996,1996-01-23,0.11677534594479423,6.213627805459721,9,6.666666666666666,Energy,0.25,1995-2000
1996,1996-01-30,0.060737055630034745,9.285033579800922,10,7.4074074074074066,Utilities,0.2,1995-2000
1996,1996-02-06,0.07083322568449672,8.525762318144015,6,4.651162790697675,Utilities,0.35,1995-2000
1996,1996-02-13,0.0737307455115854,8.330264447527586,8,6.666666666666666,Technology,0.2,1995-2000
1996,1996-02-21,0.10113719177214575,6.8455485078140335,10,6.896551724137931,Utilities,0.25,1995-2000
1996,1996-02-28,0.18329746915736764,4.461644665645721,7,3.3898305084745766,Utilities,0.5,1995-2000
1996,1996-03-06,0.2096697650771285,4.013062086517791,8,2.985074626865671,Utilities,0.55,1995-2000
1996,1996-03-13,0.17512611241665085,4.621716933655489,9,7.4074074074074066,Industrials,0.2,1995-2000
1996,1996-03-20,0.12312571653933328,5.9891202583224405,9,5.7142857142857135,Utilities,0.3,1995-2000
1996,1996-03-27,0.16267156658432685,4.889067348959879,9,6.896551724137931,Industrials,0.25,1995-2000
1996,1996-04-03,0.1283523621614054,5.816160110662651,8,6.249999999999999,Industrials,0.2,1995-2000
1996,1996-04-11,0.302564235433008,2.963524727293418,9,6.0606060606060606,Financial Services,0.3,1995-2000
1996,1996-04-18,0.1998744262826052,4.16873879093952,8,6.0606060606060606,Financial Services,0.25,1995-2000
1996,1996-04-25,0.2528874023519131,3.4453884811701023,8,6.249999999999999,Utilities,0.2,1995-2000
1996,1996-05-02,0.14314284703136856,5.376757325094619,7,4.761904761904762,Financial Services,0.35,1995-2000
1996,1996-05-09,0.1573979072008928,5.011827616453381,9,5.7142857142857135,Financial Services,0.3,1995-2000
1996,1996-05-16,0.11344440634085513,6.3382528010930335,10,8.695652173913043,Basic Materials,0.15,1995-2000
1996,1996-05-23,0.05145261913037711,10.113269817970897,9,6.25,Technology,0.3,1995-2000
1996,1996-05-31,0.1251470212053807,5.921025241749778,8,6.666666666666666,Utilities,0.2,1995-2000
1996,1996-06-07,0.11458974136196813,6.294840735619981,8,5.555555555555555,Industrials,0.25,1995-2000
1996,1996-06-14,0.10788138066291605,6.557922684268564,9,7.692307692307692,Consumer Defensive,0.2,1995-2000
