event_date,event_type,ticker,sector,horizon_days,return
1996-03-08,1-day crash,XLK,Technology,5,0.02194042595668133
1996-03-08,1-day crash,XLK,Technology,30,0.10190128495983042
1996-03-08,1-day crash,XLK,Technology,60,0.10775259844197471
1996-03-08,1-day crash,XLF,Financials,5,0.014745689417298813
1996-03-08,1-day crash,XLF,Financials,30,-0.029490268267000297
1996-03-08,1-day crash,XLF,Financials,60,0.09942569986688543
1996-03-08,1-day crash,XLE,Energy,5,0.004700852427446556
1996-03-08,1-day crash,XLE,Energy,30,-0.01679012423669546
1996-03-08,1-day crash,XLE,Energy,60,0.07571344832470306
1996-03-08,1-day crash,XLV,Healthcare,5,0.027465346257961487
1996-03-08,1-day crash,XLV,Healthcare,30,0.07865185898600302
1996-03-08,1-day crash,XLV,Healthcare,60,0.13108537136608422
1996-03-08,1-day crash,XLI,Industrials,5,0.04630870833437428
1996-03-08,1-day crash,XLI,Industrials,30,0.04496582933978499
1996-03-08,1-day crash,XLI,Industrials,60,0.08456912958947504
1996-03-08,1-day crash,XLP,ConsumerStaples,5,0.03242888556905976
1996-03-08,1-day crash,XLP,ConsumerStaples,30,-0.008254251005409663
1996-03-08,1-day crash,XLP,ConsumerStaples,60,0.043703576571624714
1996-03-08,1-day crash,XLY,ConsumerDiscretionary,5,0.02699406164807261
1996-03-08,1-day crash,XLY,ConsumerDiscretionary,30,0.05153384039047282
1996-03-08,1-day crash,XLY,ConsumerDiscretionary,60,0.13006031894899994
1996-03-08,1-day crash,XLU,Utilities,5,0.017286405373784897
1996-03-08,1-day crash,XLU,Utilities,30,-0.03562102911972054
1996-03-08,1-day crash,XLU,Utilities,60,-0.04509579167426314
1996-03-08,1-day crash,XLB,Materials,5,0.04050939940351639
1996-03-08,1-day crash,XLB,Materials,30,0.06751611042785566
1996-03-08,1-day crash,XLB,Materials,60,0.07863354818351365
1996-03-08,1-day crash,XLC,Communications,5,-0.008566871218185002
1996-03-08,1-day crash,XLC,Communications,30,-0.03402719448204983
1996-03-08,1-day crash,XLC,Communications,60,-0.030024111386701136
1996-03-08,1-day crash,XLRE,RealEstate,5,-0.004634111899903592
1996-03-08,1-day crash,XLRE,RealEstate,30,0.009930589380289456
1996-03-08,1-day crash,XLRE,RealEstate,60,0.050314587396455446
1996-03-08,1-day crash,ITA,Aerospace/Defense,5,-0.03251242771057772
1996-03-08,1-day crash,ITA,Aerospace/Defense,30,-0.10696411025412844
1996-03-08,1-day crash,ITA,Aerospace/Defense,60,-0.09047309644485402
1996-03-08,1-day crash,GLD,Gold,5,0.020504727929488542
1996-03-08,1-day crash,GLD,Gold,30,-0.030644447445240197
1996-03-08,1-day crash,GLD,Gold,60,-0.04055879210768554
1996-03-08,1-day crash,TLT,LongTreasury,5,0.02428911293221314
1996-03-08,1-day crash,TLT,LongTreasury,30,0.07538711573007073
1996-03-08,1-day crash,TLT,LongTreasury,60,0.04287715161215733
1996-03-08,1-day crash,SHY,ShortTreasury,5,0.006171578511936948
1996-03-08,1-day crash,SHY,ShortTreasury,30,0.0071965301327872044
1996-03-08,1-day crash,SHY,ShortTreasury,60,0.008671121742428012
1997-04-11,1-day crash,XLK,Technology,5,0.02194042595668133
1997-04-11,1-day crash,XLK,Technology,30,0.10190128495983042
1997-04-11,1-day crash,XLK,Technology,60,0.10775259844197471
1997-04-11,1-day crash,XLF,Financials,5,0.014745689417298813
1997-04-11,1-day crash,XLF,Financials,30,-0.029490268267000297
1997-04-11,1-day crash,XLF,Financials,60,0.09942569986688543
1997-04-11,1-day crash,XLE,Energy,5,0.004700852427446556
1997-04-11,1-day crash,XLE,Energy,30,-0.01679012423669546
1997-04-11,1-day crash,XLE,Energy,60,0.07571344832470306
1997-04-11,1-day crash,XLV,Healthcare,5,0.027465346257961487
1997-04-11,1-day crash,XLV,Healthcare,30,0.07865185898600302
1997-04-11,1-day crash,XLV,Healthcare,60,0.13108537136608422
1997-04-11,1-day crash,XLI,Industrials,5,0.04630870833437428
1997-04-11,1-day crash,XLI,Industrials,30,0.04496582933978499
